koyAdi,adaNo,parselNo,alanKm
AKSU,101,1,1.296
AKSU,101,2,0.871
AKSU,101,3,1.95
AKSU,101,3,1.95
AKSU,101,4,0.367
AKSU,101,8,10.564
AKSU,101,10,3.579
AKSU,101,109,8.682
AKSU,102,12,16.472
AKSU,102,27,3.121
AKSU,102,127,1.999
AKSU,102,138,2.795
AKSU,102,140,1.635
AKSU,102,166,1.425
AKSU,102,171,1.567
AKSU,102,173,1.887
AKSU,102,175,1.148
AKSU,102,180,13.779
AKSU,105,2,2.044
AKSU,105,3,3.311
AKSU,105,4,5.76
AKSU,105,9,3.55
AKSU,105,11,1.384
AKSU,105,12,5.11
AKSU,105,14,1.134
AKSU,105,21,0.748
AKSU,105,22,0.77
AKSU,105,27,4.163
AKSU,105,34,8.315
AKSU,105,34,8.315
AKSU,105,45,5.133
AKSU,105,52,4.533
AKSU,105,54,11.029
AKSU,105,56,7.539
AKSU,105,58,0.517
AKSU,105,59,13.698
AKSU,105,76,12.045
AKSU,105,130,15.209
AKSU,105,134,1.155
AKSU,105,135,0.485
AKSU,105,136,0.293
AKSU,105,137,0.635
AKSU,105,173,3.339
AKSU,106,3,0.227
AKSU,110,11,0.794
AKSU,111,7,8.629
AKSU,114,1,11.956
AKSU,114,2,1.505
AKSU,114,6,1.976
AKSU,114,7,19.924
AKSU,114,8,14.172
AKSU,114,13,8.294
AKSU,114,19,22.288
AKSU,114,20,4.851
AKSU,114,47,1.257
AKSU,114,55,2.479
AKSU,114,63,2.078
AKSU,114,76,18.609
AKSU,114,87,6.386
AKSU,114,90,1.982
AKSU,114,101,11.412
AKSU,114,122,3.035
AKSU,114,144,10.226
AKSU,114,147,4.663
AKSU,114,150,3.751
AKSU,114,153,6.198
AKSU,114,154,3.826
AKSU,114,155,0.935
AKSU,114,156,3.509
AKSU,114,158,6.318
AKSU,121,8,0.492
AKSU,123,2,0.173
AKSU,123,4,1.951
AKSU,123,5,0.785
AKSU,130,1,8.53
AKSU,130,2,1.702
AKSU,130,4,0.297
AKSU,130,5,0.212
AKSU,130,6,0.192
AKSU,130,7,0.176
AKSU,130,9,5.785
AKSU,130,11,17.308
AKSU,130,12,0.765
AKSU,130,13,0.188
AKSU,130,17,0.685
AKSU,130,24,0.973
AKSU,130,25,0.605
AKSU,130,27,1.343
AKSU,130,28,1.129
AKSU,130,29,3.761
AKSU,130,30,3.837
AKSU,130,31,1.11
AKSU,130,32,0.3
AKSU,130,34,0.676
AKSU,130,36,2.294
AKSU,130,38,0.425
AKSU,130,39,0.909
AKSU,130,43,2.252
AKSU,130,44,0.872
AKSU,130,45,0.223
AKSU,130,46,3.841
AKSU,130,47,2.55
AKSU,130,49,3.379
AKSU,130,51,2.684
AKSU,130,53,7.274
AKSU,130,53,7.274
AKSU,130,57,7.032
AKSU,130,59,0.981
AKSU,130,59,0.981
AKSU,130,61,0.374
AKSU,130,63,0.17
AKSU,130,66,0.228
AKSU,130,67,1.236
AKSU,130,68,1.41
AKSU,130,70,2.36
AKSU,130,71,1.919
AKSU,130,72,0.983
AKSU,130,74,2.263
AKSU,130,75,1.396
AKSU,130,76,3.252
AKSU,130,77,0.269
AKSU,130,80,0.632
AKSU,130,81,0.445
AKSU,130,82,1.165
AKSU,130,84,0.264
AKSU,130,89,1.415
AKSU,130,91,9.458
AKSU,130,94,0.93
AKSU,130,95,0.364
AKSU,130,96,0.175
AKSU,130,98,0.268
AKSU,130,99,0.364
AKSU,130,100,0.422
AKSU,130,101,1.419
AKSU,130,103,0.755
AKSU,130,103,0.755
AKSU,130,105,6.193
AKSU,130,106,0.408
AKSU,130,106,0.408
AKSU,130,108,0.748
AKSU,130,110,1.765
AKSU,130,112,0.883
AKSU,130,116,2.878
AKSU,130,116,2.878
AKSU,130,119,3.215
AKSU,130,120,4.122
AKSU,130,121,3.916
AKSU,130,121,3.916
AKSU,130,124,2.262
AKSU,130,126,1.401
AKSU,130,128,0.614
AKSU,130,129,0.936
AKSU,130,131,0.528
AKSU,130,133,0.319
AKSU,130,136,0.237
AKSU,130,137,0.777
AKSU,130,141,1.746
AKSU,130,142,0.422
AKSU,130,143,1.839
AKSU,130,144,1.801
AKSU,130,145,1.348
AKSU,130,146,1.534
AKSU,130,148,0.326
AKSU,130,149,5.642
AKSU,130,151,0.338
AKSU,130,152,0.372
AKSU,130,155,3.475
AKSU,130,160,0.496
AKSU,130,162,0.22
AKSU,130,164,0.694
AKSU,130,165,0.759
AKSU,130,166,2.834
AKSU,130,167,2.074
AKSU,130,168,1.94
AKSU,130,169,0.9
AKSU,130,170,1.852
AKSU,130,171,0.864
AKSU,130,172,2.048
AKSU,130,176,3.029
AKSU,130,177,0.185
AKSU,130,179,0.468
AKSU,130,180,3.138
AKSU,130,182,0.481
AKSU,130,183,0.311
AKSU,130,184,0.807
AKSU,130,185,0.359
AKSU,130,186,1.254
AKSU,130,187,0.687
AKSU,130,188,1.724
AKSU,130,189,1.515
AKSU,130,190,1.679
AKSU,130,192,2.396
AKSU,130,195,0.337
AKSU,130,196,0.14
AKSU,130,197,0.165
AKSU,130,198,0.305
AKSU,130,200,0.161
AKSU,130,201,0.274
AKSU,130,202,0.221
AKSU,130,203,0.148
AKSU,130,204,0.649
AKSU,130,205,0.211
AKSU,130,206,0.317
AKSU,130,207,0.666
AKSU,130,208,0.512
AKSU,130,209,0.807
AKSU,130,210,4.131
AKSU,130,211,2.034
AKSU,130,215,3.666
AKSU,130,217,0.735
AKSU,130,218,1.49
